Location,Mass,Sex,Shell Length
sd,126.1,F,na
sd,119.92,M,106.21
sd,40.07,M,75.58
sd,140.82,F,107.59
sd,49.7,M,76.23
sd,na,M,70.1
sd,na,F,80.14
sd,na,M,66.4
sd,na,F,106.49
sd,na,F,93.14
sd,na,M,69.51
sd,na,M,76.16
sd,na,F,106.9
sd,na,M,91.56
sd,na,F,100.51
sd,na,F,87.07
sd,na,F,120.2
sd,na,F,86.11
sd,na,F,79.26
sd,na,M,78.66
sd,na,M,68.61
sd,na,M,98.25
sd,na,F,97.44
sd,31.436,M,63.82
sd,35.27,M,67.35
sd,44.276,F,81.2
sd,87.352,M,93.23
sd,43.533,M,72.06
sd,63.256,F,81.89
sd,32.816,F,66.78
sd,69.756,F,80.55
sd,48.727,F,74.59
sd,66.358,M,79.64
sd,38.105,M,69.86
sd,56.258,M,75.92
sd,77.61,M,89.45
sd,77.327,F,89.61
sd,103.226,F,100.37
sd,39.365,F,74.47
sd,68.595,M,87.72
sd,135.557,F,103.08
sd,57.736,F,83.36
sd,48.755,F,75.96
sd,27.126,F,59.79
sd,73.022,M,68.26
sd,46.579,M,86.59
sd,67.558,M,82.73
sd,53.088,F,77.38
sd,44.061,F,76.65
sd,30.264,F,65.57
sd,74.218,F,90.66
sd,46.292,M,77.28
sd,30.668,M,64
sd,36.732,M,67.55
sd,51.288,F,73.4
sd,61.634,M,82.93
sd,65.292,M,83.01
sd,25.733,M,63.27
sd,58.781,F,82.78
sd,31.542,M,67.43
sd,53.126,M,78.05
sd,37.089,na,69.8
sd,29.094,M,64.08
sd,18.987,F,57.51
sd,61.788,M,70.65
sd,56.094,F,na
sd,53.351,F,78.58
sd,68.175,F,92.26
sd,59.116,M,80.08
sd,43.826,M,74.45
sd,80.589,F,90
sd,99.932,F,93.21
sd,45.42,F,72.07
sd,17.698,M,57.04
sd,55.447,M,79.88
sd,39.539,M,67.21
sd,23.522,M,61.05
sd,91.223,F,89.62
sd,193.383,F,116.85
sd,55.667,F,84.11
sd,132.614,F,102.77
sd,48.307,M,82.42
sd,67.059,M,86.5
sd,47.843,F,75.91
sd,42.559,M,75.32
sd,31.979,M,65.99
sd,35.044,M,64.48
sd,48.5,F,75.58
sd,31.504,F,64.35
sd,26.86,M,67.4
sd,31.746,F,65.97
sd,123.84,F,104.97
sd,24.457,M,59.96
sd,43.956,M,77.66
sd,9.906,F,43.58
sd,20.082,M,55.88
sd,143.21,F,112.94
sd,33.26,M,66.7
sd,38.7,M,72.96
sd,50.24,F,77.11
sd,27.18,M,64.93
sd,51.18,F,76.35
sd,51.46,na,81.59
sd,53.72,M,81.1
sd,46.17,M,75.56
sd,83.69,F,92.03
sd,88.52,M,90
sd,26.19,M,62.92
sd,61.62,F,81.62
sd,62.4,F,81.51
sd,47.67,M,78.12
sd,66.01,F,83.26
sd,43.45,F,77.37
sd,19.11,M,56.75
sd,42.1,M,71.13
sd,40.82,M,73.24
sd,42.28,F,75.12
sd,26.18,M,65.92
sd,26.17,F,63.48
sbarb,146.68,M,116.74
sbarb,192.53,F,127.61
sbarb,259.22,F,137.97
sbarb,130.47,F,110.68
sbarb,181.32,M,126.62
sbarb,120.4,F,104.6
sbarb,155.42,F,117.9
sbarb,186.71,F,122.64
sbarb,151.41,F,116.72
sbarb,172.56,M,120.15
sbarb,194.79,M,130.42
sbarb,154.87,F,110.77
sbarb,171.86,F,114.93
sbarb,133.69,F,115.72
sbarb,na,F,115.5
sbarb,na,M,111.7
sbarb,na,F,115.11
sbarb,na,F,132.9
sbarb,na,F,118.5
sbarb,na,M,119.6
sbarb,na,F,109.7
sbarb,na,M,114.12
sbarb,na,M,121.6
sbarb,na,F,123.41
sbarb,197.62,F,121.89
sbarb,213.134,M,120.39
sbarb,155.539,M,120.42
sbarb,203.283,F,113.49
sbarb,150.085,M,124.32
sbarb,185.991,F,121.19
sbarb,176.327,M,122.6
sbarb,153.659,M,118.03
sbarb,161.536,F,113.31
sbarb,179.497,F,120.69
sbarb,178.048,F,120.17
sbarb,214.197,F,128.89
sbarb,147.82,M,112.5
sbarb,198.8,F,127.34
sbarb,140.482,F,106.79
sbarb,161.357,M,110.11
sbarb,148.865,M,115.05
sbarb,117.581,F,109.22
sbarb,146.674,M,104.86
sbarb,155,F,110.85
sbarb,153.669,F,114.85
sbarb,152.418,F,108.79
sbarb,160.901,F,113.14
sbarb,207.148,M,133.4
sbarb,184.021,F,111.41
sbarb,154.732,F,117.99
sbarb,282.688,F,135.5
sbarb,225.312,F,126.6
sbarb,105.188,F,99.31
sbarb,93.602,M,87.54
sbarb,173.959,F,109.53
sbarb,74.637,M,89.13
sbarb,106.821,M,94.6
sbarb,109.762,F,96.06
sbarb,286.108,na,137.33
sbarb,197.247,F,117.02
sbarb,167.646,F,120.7
sbarb,116.508,F,104.88
sbarb,274.836,F,137.89
sbarb,125.243,M,108.09
sbarb,167.714,M,108.74
sbarb,107.339,M,105.33
sbarb,104.571,M,109.94
sbarb,61.337,M,84.82
sbarb,151.551,F,106.24
sbarb,69.205,M,88.25
sbarb,169.072,F,115.32
sbarb,77.035,M,91.3
sbarb,194.095,M,124.52
sbarb,161.115,F,109.83
sbarb,239.871,F,134.61
sbarb,150.772,M,120.45
sbarb,63.206,F,87.41
sbarb,135.164,F,109
sbarb,223.967,F,136.46
sbarb,315.904,F,126.82
sbarb,152.754,M,109.75
sbarb,160.551,M,112.99
sbarb,216.477,F,125.38
sbarb,226.9,M,114.76
sbarb,192.675,F,116.18
sbarb,217.012,F,130.22
sbarb,134.41,M,120.15
sbarb,248.362,M,130.69
sbarb,224.974,F,130.77
sbarb,161.723,M,121.26
sbarb,139.937,M,112.31
sbarb,204.19,F,127.19
sbarb,204.522,F,131.7
sbarb,74.633,M,92.16
sbarb,154.424,F,114.93
sbarb,100.385,M,111.83
sbarb,170.367,F,112.76
sbarb,240.404,F,134.82
sbarb,280.738,F,132.94
sbarb,256.492,F,142.43
sbarb,121.793,F,111.852
sbarb,100.456,M,99.75
sbarb,139.797,F,102.6
sbarb,136.137,F,109.77
sbarb,143.229,F,104.12
sbarb,101.529,M,96.6
sbarb,219.189,F,126.86
sbarb,202.662,F,130.34
sbarb,160.755,M,100.97
sbarb,245.352,F,134.51
sbarb,96.39,F,104.51
sbarb,229.793,M,139.56
sbarb,151.385,F,122.25
sbarb,222.33,M,131.26
sbarb,124.274,F,109.47
sbarb,134.426,F,108.32
sbarb,264.258,M,141.54
sbarb,251.199,F,135.67
sbarb,249.557,M,128.17
sbarb,294.647,F,143.06
sbarb,86.15,M,101.76
sbarb,142.518,F,112.2
sbarb,231.971,F,128.03
sbarb,151.365,M,95.29
sbarb,53.015,M,79.31
sbarb,125.648,F,96.54
sbarb,92.342,M,101.37
sbarb,124.179,F,102.32
sbarb,234.279,F,133.69
sbarb,238.789,M,134.62
sbarb,111.966,M,96.38
sbarb,220.77,M,121.92
sbarb,85.739,F,103.86
sbarb,219.047,M,139.84
sbarb,140.562,M,105.69
sbarb,121.385,F,103.06
sbarb,209.805,F,122.21
sbarb,105.459,F,98.69
sbarb,151.812,F,116.16
sbarb,182.452,F,115.82
sbarb,169.519,F,120.06
sbarb,267.105,F,139.58
sbarb,173.027,F,116.57
sbarb,104.18,F,98.99
sbarb,272.068,F,130.11
sbarb,262.477,F,136.15
sbarb,168.654,F,117.7
sbarb,192.219,F,128.96
sbarb,184.893,F,110.98
sbarb,213.479,F,124.48
sbarb,263.825,F,130.74
sbarb,125.247,F,103.76
sbarb,128.951,M,120.24
sbarb,180.465,F,126.43
sbarb,354.513,F,na
sbarb,166.212,F,115.3
sbarb,191.235,F,123.05
sbarb,192.679,F,112.8
sbarb,158.35,M,102.2
sbarb,239.569,F,130.99
sbarb,81.261,M,98.77
sbarb,336.834,F,140.42
sbarb,187.035,M,124.98
sbarb,212.403,F,130.85
sbarb,99.233,F,99.82
sbarb,140.565,M,114.41
sbarb,47.629,M,82.76
sbarb,151.414,M,111.74
sbarb,132.573,M,112.87
sbarb,209.096,F,121.16
sbarb,97.515,F,101.43
sbarb,85.453,F,89.68
sbarb,152.623,na,122.28
sbarb,136.113,F,107.89
sbarb,124.305,M,96.22
sbarb,111.379,F,105.25
sbarb,116.25,F,105.49
sbarb,118.477,F,94.06
sbarb,182.315,F,113.27
sbarb,101.718,M,98.35
sbarb,164.265,F,105.17
sbarb,104.805,M,110.59
sbarb,283.178,M,142.96
sbarb,71.085,M,93.47
sbarb,386.673,F,142.94
sbarb,80.131,F,101.63
sbarb,305.598,F,139.22
sbarb,251.68,M,127.16
sbarb,312.369,F,140.99
sbarb,117.41,M,112.71
sbarb,132.811,F,105.47
sbarb,153.631,M,106.93
sbarb,132.992,F,105.79
sbarb,106.695,F,111.69
sbarb,139.249,M,107.32
sbarb,145.203,F,105.35
sbarb,308.708,F,134.87
sbarb,358.803,F,151.34
sbarb,196.884,F,114.27
sbarb,115.854,F,103.18
sbarb,187.073,na,114.25
sbarb,154.994,M,112.18
sbarb,256.171,F,126.44
sbarb,141.292,F,118.25
sbarb,241.314,F,127.17
sbarb,244.303,F,129.79
sbarb,244.951,M,128.91
sbarb,223.941,M,121.94
sbarb,261.341,F,127.74
sbarb,212.567,F,121.32
sbarb,134.726,F,116.28
sbarb,326.756,F,136.16
sbarb,92.216,F,93.84
sbarb,340.053,F,134.03
sbarb,98.104,F,100.1
sbarb,143.765,M,110.58
sbarb,61.596,M,83.5
sbarb,129.831,M,103.98
sbarb,55.243,M,83.87
sbarb,186.038,M,129.92
sbarb,68.154,M,87.35
sbarb,96.033,M,99.13
sbarb,391.223,F,133.68
sbarb,134.603,M,103.19
sbarb,140.623,F,108.97
sbarb,111.341,M,91.2
sbarb,207.171,M,130.03
sbarb,91.304,F,101.58
sbarb,150.325,M,103.59
sbarb,102.895,F,101.4
sbarb,123.548,M,103.18
sbarb,149.681,F,111.24
sbarb,116.954,M,99.71
sbarb,161.201,F,112.41
sbarb,114.723,F,109.32
sbarb,133.897,M,111.44
sbarb,232.698,M,123.49
sbarb,261.416,F,132.92
sbarb,61.709,M,88.88
sbarb,115.113,M,106.37
sbarb,129.802,M,109.96
sbarb,137.108,F,105.85
sbarb,152.77,F,102.18
sbarb,171.445,F,117.6
sbarb,143.02,M,114.35
sbarb,141.55,F,112.43
sbarb,186.204,M,117.65
sbarb,82.387,F,95.49
sbarb,258.064,F,132.12
sbarb,110.324,F,98.75
sbarb,175.464,M,128.98
sbarb,86.292,F,96.6
sbarb,209.867,M,119.31
sbarb,132.867,M,103.39
sbarb,282.365,M,128
sbarb,152.747,F,123.02
sbarb,243.147,M,136.06
sbarb,326.77,F,145.29
sbarb,389.045,F,152.64
sbarb,203.834,M,129.11
sbarb,89.27,M,97.46
sbarb,187.088,M,119.83
sbarb,155.3,F,109.63
sbarb,282.487,F,130
sbarb,68.832,F,85.15
sbarb,75.22,F,101.11
sbarb,96.766,F,104.02
sbarb,270.042,M,137.55
sbarb,218.198,M,122.34
sbarb,403.892,M,147.51
sbarb,318.387,F,145.97
sbarb,109.791,F,108.6
sbarb,160.295,M,107.79
sbarb,219.483,M,129.59
sbarb,221.168,F,130.56
sbarb,214.939,F,125.08
sbarb,223.637,F,na
sbarb,258.607,F,na
sbarb,340.858,F,na
sbarb,227.402,F,na
sbarb,144.165,F,111.99
sbarb,74.398,M,83.69
sbarb,129.183,M,102.5
sbarb,156.78,na,109.81
sbarb,280.691,na,126.29
sbarb,190.165,na,117.66
sbarb,192.853,F,121.72
sbarb,175.81,na,123.02
sbarb,257.989,F,131.3
sbarb,219.228,M,123.54
sbarb,195.318,M,117.53
sbarb,201.161,M,114.56
sbarb,171.657,F,114.07
sbarb,258.752,F,129.85
sbarb,177.754,M,103.07
sbarb,186.328,F,113.6
sbarb,213.961,M,124.59
sbarb,189.791,M,na
sbarb,174.487,F,na
sbarb,278.934,F,na
sbarb,153.351,F,na
sbarb,263.388,F,na
sbarb,380.695,F,na
sbarb,261.604,M,na
sbarb,292.303,F,na
sbarb,209.476,F,na
sbarb,216.249,F,na
sbarb,232.921,F,na
sbarb,177.127,F,na
sbarb,221.364,F,na
sbarb,245.475,F,na
sbarb,230.701,F,na
sbarb,282.214,F,na
sbarb,130.634,F,na
sbarb,119.567,F,na
sbarb,235.387,M,na
sbarb,276.138,na,na
sbarb,160.507,F,na
sbarb,255.902,F,na
sbarb,199.103,F,na
sbarb,176.279,M,na
sbarb,159.375,M,na
sbarb,95.976,F,na
sbarb,264.188,M,134.62
sbarb,133.761,M,105.34
sbarb,186.555,F,113.11
sbarb,163.583,F,116.35
sbarb,148.972,F,109.49
sbarb,110.454,F,101.32
sbarb,131.709,F,112
sbarb,279.071,F,144.84
sbarb,160.38,F,116.81
sbarb,267.812,F,139.58
sbarb,219.016,F,131.44
sbarb,233.432,F,134.16
sbarb,288.977,F,141.21
sbarb,191.943,F,118.52
sbarb,173.371,F,119.85
sbarb,255.461,F,145.71
sbarb,258.195,M,143.18
sbarb,231.929,F,127.52
sbarb,168.51,M,118.58
sbarb,370.8,F,155.28
sbarb,198.35,M,121.87
sbarb,230.43,F,129.47
sbarb,188.8,F,124.86
sbarb,135.64,F,110.88
sbarb,239.64,F,137.63
sbarb,166.1,M,118.7
sbarb,134.13,M,110.69
sbarb,143.2,F,119.75
sbarb,226.79,F,128.99
sbarb,232.563,F,128.55
sbarb,156.443,F,117.8
